model,metric,n_pairs,mean_diff,sd_est,cohens_d,n_req_80,n_req_90
LinearSVM,accuracy,15,-0.0031991246308402,0.00671546125010534,-0.4763819656899991,35.0,47.0
NeuralNet,accuracy,15,0.0087061542050584,0.010639520700770674,0.8182844368569883,12.0,16.0
RandomForest,accuracy,15,-0.0005537893403853,0.005045230046768213,-0.10976493346225845,651.0,873.0
SVM,accuracy,15,-0.0011380877537432,0.0052806555807042915,-0.2155201634247487,169.0,227.0
croBERT,accuracy,1,-0.0031484095103679,,,inf,inf
LinearSVM,f1,15,-0.0025742715075274,0.005316351778838303,-0.48421767682384514,34.0,45.0
NeuralNet,f1,15,0.0076329439787656,0.009604579978856328,0.7947191855936316,13.0,17.0
RandomForest,f1,15,-0.0003354454884451,0.004212603957194988,-0.07962901137956968,1237.0,1658.0
SVM,f1,15,-0.0008152204314071,0.004471724854534973,-0.1823055885427184,236.0,317.0
croBERT,f1,1,-0.0025211063217231,,,inf,inf
LinearSVM,precision,15,-0.0050301585877245,0.01308584828492764,-0.38439682916989554,54.0,72.0
NeuralNet,precision,15,0.007936564411718,0.01255597005031191,0.6320948823480861,20.0,27.0
RandomForest,precision,15,-0.0024118957226501,0.009143480886914683,-0.2637830988526247,113.0,152.0
SVM,precision,15,-0.0029738157678794,0.007002235132340204,-0.4246952168379308,44.0,59.0
croBERT,precision,1,-0.0053550945188381,,,inf,inf
LinearSVM,recall,15,0.000164292671462,0.008427678248886473,0.019494416683943475,20630.0,27658.0
NeuralNet,recall,15,0.0072991143562868,0.018395123933106772,0.39679615004659796,50.0,67.0
RandomForest,recall,15,0.0018658856550125,0.006839863474997498,0.27279574538776635,106.0,142.0
SVM,recall,15,0.0015365771531492,0.0044433861617622595,0.34581220204813107,66.0,88.0
croBERT,recall,1,0.0005810575246948,,,inf,inf
